x,y,z
0.0,1.5,0.0218939
0.1,1.5,0.0209953
0.2,1.5,0.0187699
0.3,1.5,0.015632
0.4,1.5,0.0121131
0.5,1.5,0.0087195
0.6,1.5,0.00581958
0.7,1.5,0.00359344
0.8,1.5,0.00204799
0.9,1.5,0.00107467
1.0,1.5,0.000517938
1.1,1.5,0.000228702
1.2,1.5,9.23044e-05
1.3,1.5,3.39753e-05
1.4,1.5,1.13812e-05
1.5,1.5,3.46308e-06
